alpha,cl,cd,cm,
-10,0.2979479,0.1035726,-0.1376135,
-9.5,0.3203563,0.09929809,-0.1398832,
-9,0.3432018,0.09508744,-0.1422663,                                                                 
-8.5,0.3662589,0.09078338,-0.1446983,
-8,0.3891704,0.08674965,-0.1480754,
-7.5,0.4125773,0.08219357,-0.1499606,
-7,0.4372144,0.0783775,-0.1517784,
-6.5,0.4619328,0.07458069,-0.1539639,
-6,0.4852449,0.07117845,-0.1568841,
-5.5,0.5148182,0.06691285,-0.1605054,
-5,0.5476779,0.06323082,-0.1637361,
-4.5,0.5889637,0.05925342,-0.169866,
-4,0.6366962,0.05474046,-0.1778698,
-3.5,0.6848637,0.05096998,-0.1839725,
-3,0.7687284,0.04553678,-0.2008362,
-2.5,0.8213964,0.04207991,-0.2060418,
-2,0.9188508,0.03685128,-0.2233033,
0.5,1.477782,0.01493876,-0.3026808,
1,1.53561,0.01479989,-0.303555,
1.5,1.59281,0.01477309,-0.3043028,
2,1.65084,0.01480122,-0.3052859,
2.5,1.708735,0.01501566,-0.3062685,
3,1.763705,0.0151513,-0.3068,
3.5,1.81646,0.01475169,-0.3070543,
4,1.8697,0.01505911,-0.3070605,
4.5,1.923174,0.01551863,-0.3072377,
5,1.971007,0.0159272,-0.3063072,
5.5,2.020775,0.01631381,-0.305804,
6,2.073103,0.01670768,-0.3058742,
6.5,2.119074,0.01717417,-0.3047121,
7,2.162458,0.01749739,-0.3029976,
7.5,2.209644,0.01782789,-0.3020975,
8,2.243641,0.01822731,-0.2985834,
8.5,2.289013,0.0186226,-0.2974502,
9,2.316118,0.0192559,-0.2927596,
9.5,2.34695,0.01979464,-0.2888252,
10,2.369748,0.02061054,-0.2835464,
10.5,2.387586,0.02150887,-0.2775355,
11,2.398073,0.02296876,-0.2707711,
11.5,2.415038,0.02446277,-0.2655448,
12,2.419097,0.02684209,-0.259006,
12.5,2.414898,0.03031142,-0.2523975,
13,2.401948,0.03524154,-0.2460676,
13.5,2.376177,0.04195196,-0.2395149,
14,2.333907,0.0507618,-0.2324249,
14.5,2.277464,0.06157979,-0.2251793,
15,2.212579,0.07390635,-0.21835,
15.5,2.156801,0.08564343,-0.2129283,
16,2.116722,0.09583578,-0.2090404,
16.5,2.087378,0.1048948,-0.2062346,
17,2.069289,0.1126287,-0.2043139,
17.5,2.05613,0.1197837,-0.2029837,
18,2.043366,0.1270382,-0.2022382,
18.5,2.034959,0.1337163,-0.2019404,
19,2.026849,0.1403614,-0.2020493,
19.5,2.024547,0.1462323,-0.2024914,
20,2.013639,0.1534148,-0.203611,
