alpha,cl,cd,cm,
-10,-1.025947,0.02164592,-0.01365446,
-9.5,-0.9865624,0.02029981,-0.01127821,
-9,-0.9536719,0.01829099,-0.007973653,                                                                 
-8.5,-0.9124752,0.01729757,-0.005559496,
-8,-0.8763511,0.01591617,-0.002303174,
-7.5,-0.8365626,0.01495485,0.000515907,
-7,-0.796331,0.0140883,0.003319557,
-6.5,-0.7569921,0.01315917,0.006242868,
-6,-0.7161088,0.01240582,0.008874162,
-5.5,-0.6750214,0.01163561,0.01136315,
-5,-0.6326884,0.01095176,0.01352425,
-4.5,-0.5844525,0.01034676,0.01440646,
-4,-0.5076318,0.009686142,0.009399293,
-3.5,-0.4307373,0.009108004,0.004573873,
-3,-0.3556262,0.008574882,0.000340294,
-2.5,-0.2804379,0.008067983,-0.003684083,
-2,-0.214425,0.007619639,-0.005417698,
-1.5,-0.1563387,0.007228743,-0.005182848,
-1,-0.1031068,0.006936992,-0.003762969,
-0.5,-0.05144505,0.006741532,-0.001908459,
0,8.83E-09,0.006688226,-1.85E-09,
0.5,0.05144498,0.006741519,0.001908476,
1,0.1031062,0.006936974,0.003763122,
1.5,0.1563365,0.007228682,0.005183349,
2,0.2144203,0.007619484,0.005418768,
2.5,0.2804371,0.008067701,0.00368426,
3,0.355626,0.00857436,-0.000340414,
3.5,0.4307271,0.009107237,-0.004572127,
4,0.5076503,0.009684997,-0.009404175,
4.5,0.584487,0.01034531,-0.01441536,
5,0.6325949,0.01094972,-0.01350629,
5.5,0.674935,0.0116334,-0.01134602,
6,0.7160249,0.01240429,-0.008857633,
6.5,0.7569197,0.01315732,-0.006228091,
7,0.7962742,0.01408613,-0.003307599,
7.5,0.8365184,0.0149531,-0.000506482,
8,0.8763229,0.01591475,0.002309381,
8.5,0.9124818,0.01729616,0.005558688,
9,0.9537185,0.01828974,0.007964642,
9.5,0.9866377,0.02030255,0.01126163,
10,1.026104,0.02164486,0.01362369,
10.5,1.064531,0.02293167,0.01588965,
11,1.096163,0.02482756,0.01872841,
11.5,1.119746,0.02784262,0.02236282,
12,1.141861,0.0299864,0.0262401,
12.5,1.156549,0.03270745,0.03018106,
13,1.165835,0.03600364,0.03333657,
13.5,1.169888,0.04001688,0.03527354,
14,1.168563,0.04505936,0.03559246,
14.5,1.160239,0.05167735,0.03397693,
15,1.140044,0.06066175,0.03015003,
15.5,1.106211,0.07286905,0.02343253,
16,1.058236,0.08883014,0.01358604,
16.5,0.7147462,0.1918642,-0.0385252,
17,0.7290462,0.1980509,-0.04127947,
17.5,0.7496228,0.2021757,-0.0421013,
18,0.7551248,0.2127696,-0.04545982,
18.5,0.7656452,0.2214041,-0.05010725,
19,0.772458,0.2303458,-0.05842892,
19.5,0.7880152,0.2362977,-0.061894,
20,0.8053946,0.2414193,-0.06428596,
