alpha,cl,cd,cm,
-9,0.344774,0.0967798,-0.1429749,
-8.5,0.3682242,0.09268326,-0.1452538,
-8,0.3915436,0.08865074,-0.1476246,                                                                 
-7.5,0.4151163,0.08545523,-0.1516792,
-7,0.4392703,0.08057327,-0.1528023,
-6.5,0.4641167,0.07676366,-0.1546938,
-6,0.4879627,0.07339152,-0.1567673,
-5,0.5481808,0.06600236,-0.1642276,
-4.5,0.5891259,0.0621837,-0.1700054,
-4,0.6424337,0.05817871,-0.1808288,
-3.5,0.6805038,0.05431149,-0.1834579,
-3,0.7627217,0.04950705,-0.1998519,
-2.5,0.8104098,0.04607385,-0.203996,
-2,0.9022532,0.04126772,-0.2201404,
-1.5,1.010452,0.03650375,-0.238551,
-0.5,1.222057,0.02861643,-0.269738,
0.5,1.453677,0.02033032,-0.2989894,
2,1.631688,0.01965928,-0.3031168,
2.5,1.692421,0.01984051,-0.3047262,
3,1.742081,0.02026547,-0.3044191,
3.5,1.792149,0.02017073,-0.3040756,
4,1.846425,0.02064995,-0.3043369,
4.5,1.897274,0.02137911,-0.3040959,
5,1.939573,0.02217461,-0.3022659,
5.5,1.992535,0.02247117,-0.3023232,
6,2.042665,0.02314688,-0.3020518,
6.5,2.078743,0.02416135,-0.2992427,
7,2.128573,0.02462798,-0.2989142,
7.5,2.173112,0.02516309,-0.2975956,
8,2.211927,0.02546246,-0.2950797,
8.5,2.25256,0.0257613,-0.2929522,
9,2.285964,0.02636041,-0.2896375,
9.5,2.332771,0.02671275,-0.2888711,
10,2.338166,0.02799267,-0.28057,
10.5,2.3861,0.02809376,-0.2799707,
11,2.364142,0.03017683,-0.2673793,
11.5,2.364636,0.03197306,-0.2595039,
12,2.394047,0.0325196,-0.2562086,
12.5,2.362353,0.03693433,-0.2458023,
13,2.332865,0.04250164,-0.2376873,
13.5,2.298209,0.0496272,-0.2306941,
14,2.23558,0.06070862,-0.2232359,
14.5,2.199616,0.06958842,-0.2181629,
15,2.174622,0.07749118,-0.2140933,
15.5,2.150096,0.08545104,-0.2103562,
16,2.124297,0.09368762,-0.2069618,
16.5,2.105797,0.1010207,-0.2041648,
17,2.087408,0.1085628,-0.2019921,
17.5,2.07268,0.1158228,-0.2005012,
18,2.060432,0.1228229,-0.199553,
18.5,2.046587,0.1300978,-0.1991287,
19,2.033365,0.1376314,-0.1994703,
19.5,2.025256,0.1444283,-0.2001482,
20,2.01758,0.1510986,-0.2011629,
