alpha,cl,cd,cm
-10,0.1745923,0.09999575,-0.1233436
-9.5,0.2025618,0.09484768,-0.1238368
-9,0.2228696,0.09080022,-0.1241525
-8.5,0.2413633,0.08705187,-0.1248192
-8,0.2570664,0.08323729,-0.1256297
-7.5,0.2690916,0.08034159,-0.1276156
-7,0.279163,0.07944145,-0.1305592
-6.5,0.2913686,0.0757587,-0.1320907
-6,0.3117781,0.07089355,-0.1356318
-5.5,0.3377847,0.06544494,-0.1404996
-4.5,0.4014528,0.02663453,-0.1780029
-4,0.4539497,0.02315883,-0.1800003
-3.5,0.5089226,0.0210853,-0.18055
-3,0.5637535,0.01956976,-0.1807467
-2.5,0.6194513,0.01909698,-0.1807418
-2,0.673367,0.02024598,-0.1803272
-1.5,0.7260603,0.01948354,-0.1797928
-1,0.7783343,0.01979998,-0.1789142
-0.5,0.8303009,0.01966368,-0.1783414
0,0.8828807,0.01996586,-0.1776198
0.5,0.9358354,0.01981622,-0.1772301
1,0.9888364,0.02016417,-0.1766848
1.5,1.041679,0.02050601,-0.1763884
2,1.085242,0.02235071,-0.1749837
2.5,1.134312,0.02235527,-0.173895
3,1.180706,0.02283978,-0.1725302
3.5,1.222409,0.02256999,-0.1702609
4,1.265734,0.02359575,-0.1684816
4.5,1.308541,0.02461933,-0.1666811
5,1.352248,0.0255719,-0.1650365
5.5,1.398147,0.02643039,-0.1637435
6,1.447806,0.02718445,-0.1630383
6.5,1.4658,0.0313369,-0.1587658
7,1.491328,0.03262078,-0.1546824
7.5,1.494195,0.03483436,-0.1475625
8,1.464967,0.03896408,-0.1376545
8.5,1.373632,0.0495393,-0.1269435
9,1.410803,0.05061686,-0.1253388
9.5,1.499222,0.04695622,-0.1261202
10,1.587945,0.04419049,-0.1278651
10.5,1.281571,0.08415981,-0.1195545
11,1.340686,0.08194604,-0.117824
11.5,1.227566,0.1041553,-0.1198491
12,1.270454,0.1041022,-0.1185437
12.5,1.323779,0.1022938,-0.1168895
13,1.382328,0.09946038,-0.1150459
13.5,1.294984,0.1197168,-0.1188446
14,1.341088,0.1186243,-0.1174945
14.5,1.398576,0.1154523,-0.1156596
15,1.452767,0.1128047,-0.1140163
17,1.549672,0.1218797,-0.1138016
17.5,1.645464,0.1128793,-0.1106111
18,1.534153,0.1367958,-0.1177814
18.5,1.619536,0.1290042,-0.1146201
19,1.647167,0.1304133,-0.1145154
19.5,1.606716,0.1426745,-0.1190783
20,1.690636,0.1350147,-0.1154919
