alpha,cl,cd,cm
-10,0.1057076,0.09873261,-0.1236931
-9.5,0.1443069,0.09208055,-0.1316007
-9,0.1763813,0.08605144,-0.1381489
-8.5,0.2027238,0.08036783,-0.1434431
-8,0.2200088,0.07546991,-0.1471382
-7.5,0.2405795,0.0719752,-0.1514128
-7,0.2521439,0.06816781,-0.1531572
-6.5,0.2587151,0.06331115,-0.1550255
-6,0.2754145,0.05643826,-0.1628813
-5.5,0.264594,0.04153351,-0.1751909
-5,0.3039147,0.03705902,-0.1783104
-4.5,0.34985,0.03209669,-0.1828886
-4,0.4076499,0.02037163,-0.1877252
-3.5,0.4656738,0.01667418,-0.188747
-3,0.5276569,0.01448079,-0.1897683
-2.5,0.5878793,0.01363719,-0.1905609
-2,0.6448929,0.01254286,-0.1909943
-1.5,0.7020681,0.01213032,-0.1913383
-1,0.762553,0.0118374,-0.1923107
-0.5,0.8186956,0.01170506,-0.1926853
0,0.8701936,0.01148253,-0.1916691
0.5,0.9243999,0.01136735,-0.1909774
1,0.9790655,0.01149822,-0.1904562
1.5,1.018202,0.01135257,-0.186594
2,1.064111,0.01118967,-0.1842068
2.5,1.123827,0.01159153,-0.1851927
3,1.172578,0.01181548,-0.1840346
3.5,1.222827,0.01207307,-0.1830706
4,1.274733,0.01255085,-0.1825486
4.5,1.319819,0.01289266,-0.1807455
5,1.364853,0.01336092,-0.1789094
5.5,1.408468,0.01391395,-0.176956
6,1.446476,0.01442303,-0.1739116
6.5,1.485764,0.01525684,-0.1712882
7,1.517665,0.01585449,-0.1673624
7.5,1.549057,0.01673325,-0.1635598
8,1.581181,0.0177653,-0.1601334
8.5,1.609766,0.01876321,-0.1562744
9,1.633107,0.02023377,-0.1518699
9.5,1.661262,0.02153597,-0.1484473
10,1.683522,0.02312888,-0.1444366
10.5,1.702664,0.02516891,-0.1402784
11,1.724401,0.0269975,-0.1368387
11.5,1.73697,0.02960317,-0.1326583
12,1.752516,0.03229202,-0.1290913
12.5,1.768406,0.03500446,-0.1260204
13,1.769299,0.03898765,-0.1220227
13.5,1.78344,0.04206107,-0.1193834
14,1.789272,0.04605122,-0.1166797
14.5,1.787346,0.05104491,-0.1137984
15,1.793751,0.05577307,-0.1122322
15.5,1.791549,0.06151488,-0.1105244
16,1.788538,0.06758902,-0.1092368
16.5,1.792065,0.07302909,-0.1085936
17,1.774969,0.08104241,-0.1083046
17.5,1.776739,0.08658782,-0.1083349
18,1.766977,0.09378715,-0.1092351
18.5,1.752697,0.1008078,-0.1102625
19,1.747961,0.1069181,-0.1118808
19.5,1.744101,0.1131476,-0.1137953
20,1.723105,0.1222555,-0.1171277
