alpha,cl,cd,cm
-10,0.1911625,0.1027725,-0.1230603
-9.5,0.2056609,0.09878816,-0.1241648
-9,0.2213094,0.09424593,-0.1255365
-8.5,0.2366061,0.08970358,-0.1267979
-8,0.2525194,0.08479057,-0.1283293
-7.5,0.2671142,0.07995707,-0.1295973
-7,0.2798173,0.07523618,-0.1305826
-6.5,0.2903181,0.07059628,-0.1316277
-5.5,0.3137139,0.05578625,-0.1381799
-5,0.3493299,0.02501722,-0.1765882
-4.5,0.4035257,0.01987121,-0.1802194
-4,0.4606635,0.01785275,-0.1813703
-3.5,0.5152688,0.01578875,-0.1814771
-3,0.5702621,0.01590855,-0.1809915
-2.5,0.6249452,0.01530679,-0.1807288
-2,0.679289,0.01500911,-0.1802766
-1.5,0.7338977,0.0153543,-0.1797475
-1,0.7896692,0.01532614,-0.1797809
0.5,0.8452121,0.01619908,-0.1797419
0,0.898895,0.01590701,-0.1793406
0.5,0.9521057,0.01611088,-0.1787259
1,1.004885,0.01607269,-0.1782128
1.5,1.057394,0.01630976,-0.1775908
2,1.109831,0.01641514,-0.1769897
2.5,1.161961,0.01656113,-0.1763429
3,1.213791,0.01676803,-0.1757564
3.5,1.265337,0.01705515,-0.1753409
4,1.313579,0.01757996,-0.1743112
4.5,1.359353,0.01886608,-0.1730745
5,1.407578,0.0193486,-0.171964
5.5,1.453907,0.01991062,-0.1705905
6,1.498377,0.02045519,-0.1689095
6.5,1.542195,0.0209374,-0.167114
7,1.585032,0.02160056,-0.1652848
7.5,1.628134,0.02220685,-0.1635154
8,1.673384,0.02252968,-0.1620062
8.5,1.715658,0.0230858,-0.1601232
9,1.745551,0.02585079,-0.1573365
9.5,1.774608,0.02629316,-0.1532599
10,1.79671,0.02685335,-0.1482614
10.5,1.814775,0.02790192,-0.1431783
11,1.835789,0.02892795,-0.138856
11.5,1.866586,0.02949596,-0.1359583
12,1.898147,0.03004798,-0.1333012
12.5,1.931417,0.03175548,-0.1314306
13,1.923238,0.03474042,-0.1255376
13.5,1.909217,0.03891137,-0.1205443
14,1.910668,0.04240632,-0.1174863
14.5,1.930303,0.04457428,-0.1156052
15,1.930626,0.04899474,-0.1132204
15.5,1.866216,0.06122381,-0.110792
16,1.8844,0.06409206,-0.1098146
16.5,1.840306,0.0750874,-0.1091641
17,1.817597,0.08349628,-0.1090374
17.5,1.801721,0.09130028,-0.1091871
18,1.778086,0.1004805,-0.1100795
18.5,1.774675,0.1067493,-0.1106781
19,1.746598,0.1168771,-0.1127334
19.5,1.752271,0.1215745,-0.1134414
20,1.740051,0.1293926,-0.1156938
