alpha,cl,cd,cm
-10,0.09064053,0.1090474,-0.094649
-9.5,0.1101877,0.1045112,-0.09554606
-9,0.1289782,0.1000733,-0.09649417
-8.5,0.1485334,0.09572254,-0.09828035
-8,0.1669381,0.09131978,-0.1000865
-7.5,0.1846091,0.08696802,-0.1021819
-7,0.1978501,0.0838097,-0.1069048
-6.5,0.2174943,0.08132067,-0.113782
-6,0.2465325,0.07641369,-0.1208018
-5.5,0.2803314,0.07051551,-0.1289233
-4.5,0.3256404,0.05766812,-0.1290027
-4,0.3676483,0.05366817,-0.134162
-3.5,0.4246782,0.04928305,-0.1441903
-2.5,0.6228898,0.01925903,-0.1901534
-2,0.6856254,0.01856763,-0.1923575
-1.5,0.7455365,0.01768743,-0.1932899
-1,0.8048709,0.01722421,-0.1942955
-0.5,0.8596352,0.01752035,-0.1946241
0,0.9133211,0.01782968,-0.1945789
0.5,0.9666654,0.01828532,-0.1948752
1,1.018554,0.01895143,-0.1950897
1.5,1.068335,0.01970092,-0.1947408
2,1.115429,0.0208709,-0.1938378
2.5,1.160012,0.0220291,-0.1926388
3,1.202325,0.02341728,-0.1911635
3.5,1.240152,0.02479156,-0.1889014
4,1.267785,0.02603592,-0.1846858
4.5,1.301718,0.02783324,-0.1822216
5,1.338758,0.029086,-0.1798988
5.5,1.382374,0.02966073,-0.1781702
6,1.436347,0.02945324,-0.1776165
6.5,1.474683,0.03060185,-0.175207
7,1.360746,0.04389732,-0.1578237
7.5,1.458569,0.03864057,-0.160733
8,1.520461,0.03676886,-0.1608472
8.5,1.559623,0.03673955,-0.1588821
9,1.599403,0.03677485,-0.1570404
9.5,1.640568,0.03687584,-0.1554158
10,1.735215,0.03160058,-0.1579614
10.5,1.760876,0.03269194,-0.1544707
11,1.776885,0.03521408,-0.15087
11.5,1.780634,0.03892301,-0.1468458
12,1.786847,0.04251943,-0.1432441
12.5,1.740089,0.05144341,-0.1377629
13,1.711651,0.05901996,-0.1340361
13.5,1.667683,0.07016907,-0.13216
14,1.594028,0.08753435,-0.1332933
14.5,1.533331,0.1008692,-0.1330711
15,1.468459,0.1174456,-0.1360312
15.5,1.401903,0.1346662,-0.1409308
16,1.383926,0.1426541,-0.1429091
16.5,1.390548,0.1474751,-0.1437632
17,1.407039,0.1510171,-0.1442504
17.5,1.422426,0.1548051,-0.1448931
18,1.435055,0.1591671,-0.1458299
18.5,1.4525,0.1631203,-0.1467578
19,1.353769,0.1921933,-0.1588394
19.5,1.369084,0.1968084,-0.1601595
20,1.380603,0.2020746,-0.1617265
