alpha,cl,cd,cm
-10,0.0444461,0.1136791,-0.1113984
-9.5,0.08176046,0.1070578,-0.1203339
-9,0.1235658,0.09944456,-0.1304874
-8.5,0.1426887,0.09375528,-0.1341706
-8,0.1610642,0.08125583,-0.1389699
-7.5,0.2051292,0.07534734,-0.144078
-7,0.2103193,0.0720729,-0.1422699
-6.5,0.2328662,0.06688084,-0.146207
-6,0.2219965,0.06392284,-0.1437987
-5.5,0.2570288,0.05869023,-0.1593076
-5,0.266813,0.05052567,-0.1665284
-4,0.3583451,0.02498593,-0.1817596
-3.5,0.4339251,0.02062038,-0.185604
-3,0.4763775,0.01928362,-0.1832353
-2.5,0.5364436,0.0178036,-0.1837923
-2,0.6089926,0.01616617,-0.1869321
-1.5,0.6765688,0.01596806,-0.1893034
-1,0.7215623,0.01575246,-0.1875119
-0.5,0.777614,0.01534898,-0.1871995
0,0.8377997,0.01499381,-0.1872983
0.5,0.8889653,0.01511748,-0.1858968
1,0.9243396,0.01489796,-0.1810603
1.5,0.9754105,0.01448465,-0.1794262
2,1.042911,0.01480638,-0.1818558
2.5,1.08899,0.01499845,-0.1801992
3,1.144993,0.01505493,-0.1801749
3.5,1.206733,0.01546598,-0.1814248
4,1.248386,0.01578655,-0.1789469
4.5,1.300832,0.0159495,-0.1782671
5,1.351795,0.01655221,-0.1776839
5.5,1.391101,0.0170106,-0.1748737
6,1.444518,0.01751879,-0.1746081
6.5,1.477015,0.01820955,-0.1707747
7,1.511862,0.01882488,-0.1672637
7.5,1.552971,0.01971783,-0.165142
8,1.576311,0.0206522,-0.1600469
8.5,1.610823,0.02164225,-0.1569732
9,1.635526,0.02292076,-0.1526702
9.5,1.65707,0.02431202,-0.1480701
10,1.691444,0.02577729,-0.145593
10.5,1.699548,0.02770745,-0.1398033
11,1.716495,0.0297143,-0.1355324
11.5,1.739646,0.03183705,-0.1323185
12,1.744315,0.03471146,-0.1275425
12.5,1.755497,0.03751658,-0.1236728
13,1.7667,0.04057191,-0.1203105
13.5,1.766411,0.04441255,-0.1165429
14,1.777699,0.04781379,-0.1136888
14.5,1.774282,0.05289429,-0.1110272
15,1.774708,0.05782777,-0.1088276
15.5,1.774658,0.06311735,-0.1069622
16,1.768727,0.06933985,-0.1058819
16.5,1.76379,0.07524788,-0.1047772
17,1.760275,0.08133127,-0.1045094
17.5,1.75084,0.08817116,-0.1049255
18,1.750701,0.09282206,-0.1046317
18.5,1.734376,0.1005697,-0.106604
19,1.720745,0.1081648,-0.1088793
19.5,1.71911,0.1135152,-0.1098845
20,1.702847,0.1225752,-0.1134381
, , , 
