alpha,cl,cd,cm,
-10,-1.013638,0.02414788,-0.01554994,
-9.5,-0.9760076,0.02248991,-0.01311067,
-9,-0.9358965,0.02109289,-0.01071089,                                                                 
-8.5,-0.9013915,0.01906719,-0.007620659,
-8,-0.8631622,0.01772657,-0.004740597,
-7.5,-0.8236381,0.01667634,-0.001930466,
-7,-0.7861513,0.01544408,0.001232371,
-6.5,-0.7477857,0.01435516,0.004265481,
-6,-0.708019,0.01343498,0.007059326,
-5.5,-0.6683799,0.01248669,0.009740683,
-5,-0.6270468,0.0117045,0.01206885,
-4.5,-0.584294,0.01106029,0.01409831,
-4,-0.5396924,0.01055695,0.01574214,
-3.5,-0.4761599,0.01009817,0.0134937,
-3,-0.3955677,0.009637472,0.00797256,
-2.5,-0.317529,0.009191283,0.00327887,
-2,-0.2376763,0.008747939,-0.001493819,
-1.5,-0.1685919,0.008332201,-0.003575252,
-1,-0.1072275,0.007997808,-0.003684794,
-0.5,-0.05221243,0.007767648,-0.002183069,
0,1.03E-08,0.007684919,-2.43E-09,
0.5,0.05221187,0.007767624,0.002183198,
1,0.107225,0.007997739,0.003685351,
1.5,0.1685877,0.008332045,0.003576195,
2,0.2376758,0.008747613,0.0014939,
2.5,0.3175277,0.009190642,-0.00327885,
3,0.3955782,0.009636382,-0.007975415,
3.5,0.4761777,0.01009659,-0.01349876,
4,0.5396045,0.01055466,-0.01572566,
4.5,0.5842046,0.01105813,-0.0140812,
5,0.6269623,0.01170242,-0.01205234,
5.5,0.6683006,0.0124847,-0.009724905,
6,0.7079501,0.01343257,-0.007045206,
6.5,0.7477255,0.01435308,-0.004253012,
7,0.7861005,0.01544257,-0.001222022,
7.5,0.8236045,0.01667483,0.001937535,
8,0.863154,0.01772496,0.004742821,
8.5,0.9014199,0.01906575,0.007615451,
9,0.9359536,0.02109504,0.0106987,
9.5,0.9761263,0.02248907,0.01308766,
10,1.013808,0.02414746,0.01551663,
10.5,1.044498,0.02754761,0.0183479,
11,1.077987,0.02914885,0.0210673,
11.5,1.105535,0.03134813,0.02412294,
12,1.124813,0.0338669,0.02790569,
12.5,1.132508,0.03775532,0.0319721,
13,1.110792,0.04524167,0.03592671,
13.5,1.096879,0.05088314,0.03684916,
14,1.070964,0.05932627,0.03427219,
14.5,1.029215,0.07184326,0.02718633,
15,0.9589664,0.09183938,0.01389495,
15.5,0.6938223,0.1771634,-0.03072894,
16,0.7018968,0.1853121,-0.03463829,
16.5,0.7156664,0.191908,-0.0371697,
17,0.7345998,0.1976594,-0.03822511,
17.5,0.7441002,0.2076453,-0.04048882,
18,0.7429827,0.2173315,-0.05010942,
18.5,0.7567991,0.2241126,-0.05407373,
19,0.7732445,0.2297313,-0.05699063,
19.5,0.7942051,0.2352181,-0.05757973,
20,0.8043392,0.2456231,-0.06147049,
